model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
Porsche ;€ 217,900.-;11,395 km;06/2021;375 kW (510 hp);Used;1 previous owner;Manual;Gasoline;13.3 l/100 km (comb.);304 g/km (comb.)
BMW 530 ;€ 31,499.-;104,305 km;06/2019;185 kW (252 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);47 g/km (comb.)
BMW M2 ;€ 61,900.-;10,000 km;01/2019;302 kW (411 hp);Used;1 previous owner;Automatic;Gasoline;9.8 l/100 km;
Audi A1 ;€ 9,990.-;176,500 km;09/2011;77 kW (105 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Audi A1 ;€ 9,990.-;176,500 km;09/2011;77 kW (105 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz CLK 280 ;€ 13,777.-;116,000 km;06/2006;170 kW (231 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);0 g/km (comb.)
BMW M5 ;€ 71,999.-;49,313 km;07/2018;441 kW (600 hp);Used;- (Previous Owners);Automatic;Gasoline;10.5 l/100 km (comb.);241 g/km (comb.)
Jaguar F-Type ;€ 58,890.-;78,000 km;03/2015;405 kW (551 hp);Used;3 previous owners;Automatic;Gasoline;11.3 l/100 km (comb.);269 g/km (comb.)
Audi A6 ;€ 19,930.-;162,674 km;06/2015;160 kW (218 hp);Used;2 previous owners;Automatic;Diesel;5.3 l/100 km (comb.);138 g/km (comb.)
Mercedes-Benz E 220 ;€ 10,000.-;300,000 km;03/2013;125 kW (170 hp);Used;- (Previous Owners);Automatic;Diesel;4.8 l/100 km (comb.);- (g/km)
Mercedes-Benz CL 500 ;€ 11,999.-;148,000 km;05/2005;225 kW (306 hp);Used;2 previous owners;Automatic;Gasoline;11.4 l/100 km (comb.);270 g/km (comb.)
Ford Galaxy ;€ 12,470.-;315,210 km;06/2017;132 kW (179 hp);Used;1 previous owner;- (Gear);Diesel;5.4 l/100 km (comb.);139 g/km (comb.)
Citroen C5 ;€ 11,990.-;90,331 km;03/2016;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 135,888.-;99,800 km;03/2020;450 kW (612 hp);Used;2 previous owners;Automatic;Gasoline;11.2 l/100 km (comb.);254 g/km (comb.)
BMW M8 ;€ 144,900.-;13,500 km;09/2020;460 kW (625 hp);Used;1 previous owner;Automatic;Gasoline;10.8 l/100 km (comb.);246 g/km (comb.)
Audi S8 ;€ 49,800.-;106,000 km;12/2015;445 kW (605 hp);Used;- (Previous Owners);Automatic;Gasoline;10 l/100 km (comb.);231 g/km (comb.)
BMW 225 ;€ 22,890.-;13,905 km;06/2019;165 kW (224 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.5 l/100 km (comb.);57 g/km (comb.)
Audi SQ7 ;€ 48,990.-;203,393 km;03/2017;320 kW (435 hp);Used;- (Previous Owners);Automatic;Diesel;7.2 l/100 km (comb.);- (g/km)
Jaguar ;€ 49,995.-;35,995 km;02/2018;221 kW (300 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);163 g/km (comb.)
Mercedes-Benz E 200 ;€ 23,980.-;93,190 km;05/2015;135 kW (184 hp);Used;2 previous owners;Automatic;Gasoline;6.1 l/100 km (comb.);138 g/km (comb.)
Jeep Grand Cherokee ;€ 84,800.-;68,358 km;08/2020;522 kW (710 hp);Used;2 previous owners;Automatic;Gasoline;13.5 l/100 km (comb.);315 g/km (comb.)
Mercedes-Benz CLS 350 ;€ 13,200.-;140,500 km;06/2007;215 kW (292 hp);Used;- (Previous Owners);Automatic;Gasoline;9.1 l/100 km (comb.);- (g/km)
Citroen C3 Aircross ;€ 13,500.-;101,990 km;01/2019;75 kW (102 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);- (g/km)
Nissan Qashqai ;€ 11,500.-;172,436 km;06/2015;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Nissan Qashqai ;€ 11,500.-;172,436 km;06/2015;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Mercedes-Benz S 650 ;€ 131,800.-;38,000 km;08/2018;463 kW (630 hp);Used;- (Previous Owners);Automatic;Gasoline;12.7 l/100 km (comb.);289 g/km (comb.)
Mercedes-Benz S 500 ;€ 57,040.-;36,537 km;05/2017;335 kW (455 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz C 63 AMG ;€ 68,900.-;18,400 km;04/2019;350 kW (476 hp);Used;2 previous owners;Automatic;Gasoline;9 l/100 km (comb.);227 g/km (comb.)
Mercedes-Benz R 300 ;€ 24,880.-;60,000 km;11/2011;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;9.2 l/100 km (comb.);242 g/km (comb.)
Volkswagen Sharan ;€ 19,700.-;211,021 km;10/2017;135 kW (184 hp);Used;1 previous owner;Automatic;Diesel;5.3 l/100 km (comb.);140 g/km (comb.)
BMW 216 ;€ 16,490.-;99,000 km;03/2019;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz AMG GT ;€ 129,880.-;8,183 km;01/2022;320 kW (435 hp);Used;1 previous owner;Automatic;Gasoline;8.7 l/100 km (comb.);198 g/km (comb.)
Audi Q7 ;€ 35,990.-;119,113 km;05/2016;160 kW (218 hp);Used;1 previous owner;Automatic;Diesel;5.7 l/100 km (comb.);148 g/km (comb.)
Toyota C-HR ;€ 19,990.-;70,000 km;06/2019;90 kW (122 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Alfa Romeo 4C ;€ 64,950.-;36,015 km;06/2015;176 kW (239 hp);Used;- (Previous Owners);Automatic;Gasoline;6.8 l/100 km (comb.);157 g/km (comb.)
Lamborghini Gallardo ;€ 95,999.-;63,000 km;07/2009;382 kW (519 hp);Used;4 previous owners;Automatic;Gasoline;- (l/100 km);0 g/km (comb.)
Peugeot 407 ;€ 9,900.-;116,000 km;03/2006;150 kW (204 hp);Used;- (Previous Owners);Automatic;Diesel;8.5 l/100 km (comb.);- (g/km)
Mercedes-Benz E 350 ;€ 12,950.-;208,380 km;12/2012;195 kW (265 hp);Used;1 previous owner;Automatic;Diesel;6 l/100 km (comb.);159 g/km (comb.)
Ford Transit Custom ;€ 14,470.-;138,000 km;06/2015;74 kW (101 hp);Used;1 previous owner;Manual;Diesel;6.5 l/100 km (comb.);172 g/km (comb.)
Audi RS6 ;€ 66,000.-;102,300 km;03/2013;412 kW (560 hp);Used;- (Previous Owners);Automatic;Gasoline;9.8 l/100 km (comb.);- (g/km)
Audi A5 ;€ 29,990.-;96,000 km;12/2017;210 kW (286 hp);Used;1 previous owner;Automatic;Diesel;5.3 l/100 km (comb.);137 g/km (comb.)
Mercedes-Benz C 250 ;€ 23,990.-;103,858 km;11/2017;150 kW (204 hp);Used;2 previous owners;Automatic;Diesel;4.7 l/100 km;124 g/km (comb.)
Nissan Qashqai ;€ 12,990.-;120,000 km;04/2016;96 kW (131 hp);Used;- (Previous Owners);Automatic;Diesel;4.6 l/100 km (comb.);- (g/km)
Ferrari 458 ;€ 179,458.-;54,300 km;04/2011;416 kW (566 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Ferrari 458 ;€ 179,458.-;54,300 km;04/2011;416 kW (566 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Chevrolet Camaro ;€ 69,950.-;10,238 km;08/2019;470 kW (639 hp);Used;3 previous owners;Automatic;Gasoline;- (l/100 km);- (g/km)
Opel Antara ;€ 8,790.-;100,000 km;04/2007;167 kW (227 hp);Used;- (Previous Owners);Automatic;LPG;11.6 l/100 km (comb.);278 g/km (comb.)
Volkswagen Golf ;€ 19,950.-;120,430 km;05/2016;162 kW (220 hp);Used;1 previous owner;Automatic;Gasoline;6.3 l/100 km (comb.);145 g/km (comb.)
Porsche Panamera ;€ 34,900.-;127,000 km;11/2010;220 kW (299 hp);Used;1 previous owner;Automatic;Gasoline;9.6 l/100 km (comb.);225 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 26,990.-;204,000 km;07/2009;336 kW (457 hp);Used;2 previous owners;Automatic;Gasoline;13.6 l/100 km (comb.);326 g/km (comb.)
Volkswagen Scirocco ;€ 16,880.-;123,500 km;12/2012;195 kW (265 hp);Used;- (Previous Owners);Automatic;Gasoline;8 l/100 km (comb.);187 g/km (comb.)
Renault Megane ;€ 5,000.-;286,000 km;03/2015;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);- (g/km)
Mitsubishi 3000 GT ;€ 8,500.-;183,600 km;03/1996;210 kW (286 hp);Used;- (Previous Owners);Manual;Gasoline;12.4 l/100 km (comb.);- (g/km)
Dodge Challenger ;€ 57,899.-;15,992 km;11/2019;362 kW (492 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Audi A5 ;€ 23,490.-;68,760 km;08/2016;140 kW (190 hp);Used;1 previous owner;Manual;Diesel;5.1 l/100 km (comb.);135 g/km (comb.)
Mercedes-Benz ML 270 ;€ 8,980.-;151,232 km;09/2003;120 kW (163 hp);Used;- (Previous Owners);Automatic;Diesel;9.1 l/100 km (comb.);241 g/km (comb.)
Mercedes-Benz S 65 AMG ;€ 234,500.-;31,900 km;02/2020;463 kW (630 hp);Used;2 previous owners;Automatic;Gasoline;11.9 l/100 km (comb.);279 g/km (comb.)
Subaru WRX ;€ 33,980.-;112,852 km;05/2014;221 kW (300 hp);Used;2 previous owners;Manual;Gasoline;10.4 l/100 km (comb.);246 g/km (comb.)
Tesla Model 3 ;€ 61,500.-;35,876 km;06/2021;377 kW (513 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Chevrolet Camaro ;€ 37,855.-;48,542 km;12/2020;250 kW (340 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Porsche Panamera ;€ 86,990.-;69,000 km;01/2017;404 kW (549 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen T5 Caravelle ;€ 21,980.-;230,000 km;09/2011;103 kW (140 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Land Rover Range Rover ;€ 6,400.-;182,700 km;02/1999;165 kW (224 hp);Used;- (Previous Owners);Automatic;Gasoline;14.1 l/100 km (comb.);- (g/km)
Volkswagen Golf Variant ;€ 11,900.-;179,800 km;09/2016;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);110 g/km (comb.)
Volkswagen CC ;€ 11,990.-;154,400 km;06/2014;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;4.6 l/100 km (comb.);120 g/km (comb.)
BMW 225 ;€ 17,990.-;105,000 km;11/2016;165 kW (224 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2 l/100 km (comb.);46 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 35,995.-;95,859 km;09/2017;270 kW (367 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Porsche Cayenne ;€ 52,990.-;116,085 km;06/2017;245 kW (333 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);79 g/km (comb.)
BMW M4 ;€ 51,900.-;59,000 km;05/2017;317 kW (431 hp);Used;- (Previous Owners);Automatic;Gasoline;8.3 l/100 km (comb.);- (g/km)
Audi A5 ;€ 30,800.-;121,000 km;04/2017;200 kW (272 hp);Used;- (Previous Owners);Automatic;Diesel;5.2 l/100 km (comb.);136 g/km (comb.)
Mercedes-Benz SLK 350 ;€ 29,880.-;50,000 km;07/2011;225 kW (306 hp);Used;- (Previous Owners);Automatic;Gasoline;7.1 l/100 km (comb.);167 g/km (comb.)
SEAT Ibiza ;€ 3,998.-;197,000 km;09/2013;63 kW (86 hp);Used;- (Previous Owners);Manual;Gasoline;5.9 l/100 km (comb.);- (g/km)
Audi A4 ;€ 1,999.-;197,250 km;06/1998;121 kW (165 hp);Used;- (Previous Owners);Manual;Gasoline;9.5 l/100 km (comb.);226 g/km (comb.)
Porsche 992 ;€ 151,890.-;3,500 km;06/2021;331 kW (450 hp);Used;2 previous owners;Automatic;Gasoline;9.6 l/100 km (comb.);220 g/km (comb.)
Audi TT ;€ 31,985.-;2,400 km;03/2019;180 kW (245 hp);Used;1 previous owner;Manual;Gasoline;6.5 l/100 km (comb.);149 g/km (comb.)
Audi A5 ;€ 36,490.-;84,000 km;11/2017;210 kW (286 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);148 g/km (comb.)
Volvo V40 ;€ 11,200.-;104,314 km;04/2015;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;3.4 l/100 km (comb.);88 g/km (comb.)
BMW 530 ;€ 9,000.-;154,500 km;07/1989;138 kW (188 hp);Used;2 previous owners;Manual;Gasoline;- (l/100 km);- (g/km)
Volkswagen Polo ;€ 11,111.-;135,300 km;03/2011;132 kW (179 hp);Used;- (Previous Owners);Automatic;Gasoline;5.9 l/100 km (comb.);139 g/km (comb.)
BMW 745 ;€ 78,900.-;45,555 km;05/2019;290 kW (394 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);50 g/km (comb.)
BMW 430 ;€ 29,650.-;123,816 km;05/2017;185 kW (252 hp);Used;- (Previous Owners);Automatic;Gasoline;5.9 l/100 km (comb.);144 g/km (comb.)
Mercedes-Benz V 300 ;€ 59,880.-;70,000 km;07/2019;176 kW (239 hp);Used;- (Previous Owners);Automatic;Diesel;6 l/100 km (comb.);157 g/km (comb.)
Tesla Model 3 ;€ 61,500.-;24,176 km;03/2021;377 kW (513 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Porsche 930 ;€ 182,790.-;5,700 km;01/2022;353 kW (480 hp);Used;1 previous owner;Automatic;Gasoline;10.7 l/100 km;244 g/km (comb.)
Mercedes-Benz V 300 ;€ 59,880.-;70,000 km;07/2019;176 kW (239 hp);Used;- (Previous Owners);Automatic;Diesel;6 l/100 km (comb.);157 g/km (comb.)
Alpine A110 ;€ 64,950.-;1,739 km;08/2021;185 kW (252 hp);Used;- (Previous Owners);Automatic;Gasoline;6.6 l/100 km (comb.);149 g/km (comb.)
Tesla Model 3 ;€ 61,500.-;24,176 km;03/2021;377 kW (513 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Audi A6 ;€ 15,985.-;165,000 km;03/2014;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;4.7 l/100 km (comb.);125 g/km (comb.)
Audi Q5 ;€ 14,250.-;179,000 km;04/2010;155 kW (211 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf GTE ;€ 37,900.-;23,952 km;11/2020;110 kW (150 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.7 l/100 km (comb.);38 g/km (comb.)
Mercedes-Benz GL 320 ;€ 8,790.-;289,842 km;09/2006;165 kW (224 hp);Used;3 previous owners;Automatic;Diesel;10 l/100 km (comb.);264 g/km (comb.)
Mercedes-Benz AMG GT ;€ 137,480.-;25,777 km;04/2019;410 kW (557 hp);Used;2 previous owners;Automatic;Gasoline;12.5 l/100 km (comb.);284 g/km (comb.)
BMW 420 ;€ 29,490.-;121,000 km;04/2019;135 kW (184 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Volkswagen Polo GTI ;€ 15,999.-;114,103 km;02/2020;147 kW (200 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);0 g/km (comb.)
Opel Astra ;€ 7,799.-;111,483 km;10/2013;96 kW (131 hp);Used;1 previous owner;Manual;Diesel;4.3 l/100 km (comb.);114 g/km (comb.)
Mercedes-Benz GLC 43 AMG ;€ 46,780.-;48,000 km;11/2018;270 kW (367 hp);Used;1 previous owner;Automatic;Gasoline;8.3 l/100 km (comb.);196 g/km (comb.)
Mercedes-Benz GLC 63 AMG ;€ 72,990.-;72,000 km;01/2019;375 kW (510 hp);Used;- (Previous Owners);Automatic;Gasoline;11.7 l/100 km (comb.);- (g/km)
Mercedes-Benz CLA 35 AMG ;€ 49,900.-;47,500 km;06/2020;225 kW (306 hp);Used;1 previous owner;Automatic;Gasoline;;171 g/km (comb.)
BMW 330 ;€ 5,990.-;280,900 km;07/2001;170 kW (231 hp);Used;1 previous owner;Automatic;Gasoline;9.6 l/100 km (comb.);230 g/km (comb.)
BMW X5 ;€ 79,490.-;44,000 km;12/2020;210 kW (286 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.7 l/100 km;30 g/km (comb.)
Mercedes-Benz EQC 400 ;€ 68,800.-;24,400 km;01/2021;300 kW (408 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Volkswagen Golf Variant ;€ 6,480.-;280,901 km;10/2013;110 kW (150 hp);Used;3 previous owners;Manual;Diesel;4.2 l/100 km (comb.);108 g/km (comb.)
BMW 530 ;€ 33,750.-;98,262 km;08/2017;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.9 l/100 km (comb.);46 g/km (comb.)
MINI Cooper SE ;€ 26,900.-;38,990 km;02/2021;135 kW (184 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 45,770.-;60,000 km;09/2018;287 kW (390 hp);Used;- (Previous Owners);Automatic;Gasoline;9.3 l/100 km (comb.);214 g/km (comb.)
Porsche Panamera ;€ 84,950.-;99,999 km;07/2019;340 kW (462 hp);Used;2 previous owners;Automatic;Electric/Gasoline;2.6 l/100 km (comb.);56 g/km (comb.)
Audi A3 ;€ 15,699.-;132,037 km;10/2014;135 kW (184 hp);Used;2 previous owners;Manual;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Volkswagen Touareg ;€ 9,500.-;267,000 km;06/2006;230 kW (313 hp);Used;- (Previous Owners);Automatic;Diesel;12.3 l/100 km (comb.);- (g/km)
Audi Q5 ;€ 23,900.-;111,000 km;03/2014;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;5.9 l/100 km (comb.);156 g/km (comb.)
Mercedes-Benz V 250 ;€ 56,870.-;124,520 km;08/2017;140 kW (190 hp);Used;1 previous owner;Automatic;Diesel;6.7 l/100 km (comb.);177 g/km (comb.)
Ford Mustang ;€ 49,999.-;12,500 km;04/2020;338 kW (460 hp);Used;2 previous owners;Manual;Gasoline;- (l/100 km);0 g/km (comb.)
Porsche Cayman ;€ 93,490.-;3,600 km;10/2021;294 kW (400 hp);Used;1 previous owner;Automatic;Gasoline;10.1 l/100 km;230 g/km (comb.)
Opel Astra ;€ 9,499.-;150,000 km;04/2018;81 kW (110 hp);Used;3 previous owners;Manual;Diesel;3.5 l/100 km (comb.);92 g/km (comb.)
Audi A6 ;€ 49,900.-;61,500 km;07/2019;210 kW (286 hp);Used;1 previous owner;Automatic;Diesel;5.6 l/100 km (comb.);151 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 77,630.-;14,900 km;05/2020;375 kW (510 hp);Used;1 previous owner;Automatic;Gasoline;10 l/100 km (comb.);229 g/km (comb.)
Audi A3 ;€ 699.-;360,360 km;07/1997;74 kW (101 hp);Used;3 previous owners;Manual;Gasoline;- (l/100 km);0 g/km (comb.)
MINI Cooper ;€ 15,900.-;64,220 km;01/2019;100 kW (136 hp);Used;- (Previous Owners);Manual;Gasoline;4.5 l/100 km (comb.);- (g/km)
Dacia Lodgy ;€ 5,990.-;200,000 km;04/2015;79 kW (107 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);105 g/km (comb.)
Volkswagen Passat Variant ;€ 25,990.-;109,000 km;08/2019;176 kW (239 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);150 g/km (comb.)
Audi A3 ;€ 18,900.-;94,943 km;10/2017;110 kW (150 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz E 350 ;€ 36,800.-;116,000 km;03/2019;210 kW (286 hp);Used;- (Previous Owners);Automatic;Diesel;5.2 l/100 km (comb.);138 g/km (comb.)
Audi A5 ;€ 26,897.-;110,600 km;07/2016;180 kW (245 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);151 g/km (comb.)
Mercedes-Benz E 200 ;€ 37,900.-;94,288 km;05/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.3 l/100 km (comb.);112 g/km (comb.)
BMW M2 ;€ 50,950.-;59,206 km;10/2020;302 kW (411 hp);Used;1 previous owner;Automatic;Gasoline;9.2 l/100 km (comb.);209 g/km (comb.)
Mercedes-Benz GLK 350 ;€ 20,840.-;135,184 km;09/2012;195 kW (265 hp);Used;- (Previous Owners);Automatic;Diesel;7 l/100 km (comb.);183 g/km (comb.)
Fiat 595 Abarth ;€ 18,900.-;32,500 km;04/2018;118 kW (160 hp);Used;1 previous owner;Manual;Gasoline;6 l/100 km (comb.);139 g/km (comb.)
Skoda Superb ;€ 27,990.-;31,928 km;08/2016;206 kW (280 hp);Used;2 previous owners;Automatic;Gasoline;7.1 l/100 km (comb.);159 g/km (comb.)
Audi A5 ;€ 34,950.-;87,500 km;03/2019;170 kW (231 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Citroen C3 ;€ 9,500.-;179,999 km;05/2017;73 kW (99 hp);Used;- (Previous Owners);Manual;Diesel;3.7 l/100 km (comb.);- (g/km)
Nissan Qashqai ;€ 11,500.-;172,436 km;06/2015;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Citroen Jumper ;€ 9,999.-;228,766 km;05/2013;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;7.1 l/100 km (comb.);188 g/km (comb.)
Audi RS6 ;€ 127,990.-;39,988 km;03/2020;441 kW (600 hp);Used;1 previous owner;Automatic;Gasoline;11.7 l/100 km (comb.);277 g/km (comb.)
Mercedes-Benz A 220 ;€ 26,890.-;56,000 km;07/2019;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;4.3 l/100 km (comb.);114 g/km (comb.)
Land Rover Range Rover ;€ 35,990.-;332,671 km;06/2013;250 kW (340 hp);Used;- (Previous Owners);Automatic;Diesel;8.7 l/100 km (comb.);229 g/km (comb.)
Lamborghini Huracan ;€ 238,580.-;17,400 km;04/2017;426 kW (579 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Porsche 991 ;€ 79,950.-;97,535 km;01/2012;257 kW (349 hp);Used;- (Previous Owners);Automatic;Gasoline;8.2 l/100 km (comb.);- (g/km)
Land Rover Discovery Sport ;€ 16,999.-;149,950 km;10/2015;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Volkswagen T6 Multivan ;€ 38,540.-;109,430 km;10/2015;150 kW (204 hp);Used;- (Previous Owners);Automatic;Diesel;6.6 l/100 km (comb.);172 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 134,890.-;59,719 km;10/2020;450 kW (612 hp);Used;1 previous owner;Automatic;Gasoline;11.1 l/100 km (comb.);254 g/km (comb.)
BMW 135 ;€ 40,900.-;24,375 km;06/2020;225 kW (306 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);154 g/km (comb.)
Mercedes-Benz C 350 ;€ 31,980.-;98,500 km;02/2016;155 kW (211 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.1 l/100 km (comb.);49 g/km (comb.)
Hyundai i30 ;€ 24,990.-;65,396 km;08/2018;202 kW (275 hp);Used;1 previous owner;Manual;Gasoline;7.1 l/100 km (comb.);163 g/km (comb.)
Nissan 370Z ;€ 31,880.-;48,000 km;05/2019;241 kW (328 hp);Used;1 previous owner;Automatic;Gasoline;11.7 l/100 km (comb.);267 g/km (comb.)
BMW M5 ;€ 89,999.-;12,190 km;09/2020;460 kW (625 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);241 g/km (comb.)
Porsche Boxster ;€ 16,500.-;179,900 km;10/2001;185 kW (252 hp);Used;- (Previous Owners);Manual;Gasoline;8 l/100 km (comb.);- (g/km)
Mercedes-Benz A 250 ;€ 30,935.-;50,768 km;11/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Kia Optima ;€ 21,000.-;74,847 km;11/2018;151 kW (205 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.6 l/100 km (comb.);- (g/km)
Skoda Octavia ;€ 7,900.-;322,653 km;10/2013;110 kW (150 hp);Used;3 previous owners;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Audi S3 ;€ 34,990.-;89,069 km;08/2017;228 kW (310 hp);Used;2 previous owners;Automatic;Gasoline;- (l/100 km);- (g/km)
BMW M6 ;€ 59,990.-;41,139 km;03/2016;412 kW (560 hp);Used;2 previous owners;Automatic;Gasoline;9.9 l/100 km (comb.);231 g/km (comb.)
BMW 760 ;€ 155,999.-;58,987 km;06/2019;448 kW (609 hp);Used;- (Previous Owners);Automatic;Gasoline;12.8 l/100 km (comb.);294 g/km (comb.)
Land Rover Range Rover Sport ;€ 129,900.-;17,000 km;04/2021;423 kW (575 hp);Used;- (Previous Owners);Automatic;Gasoline;12.7 l/100 km (comb.);- (g/km)
Lexus CT 200h ;€ 20,550.-;62,363 km;05/2018;- kW (- hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4.1 l/100 km (comb.);93 g/km (comb.)
Cupra Ateca ;€ 31,790.-;57,600 km;11/2019;221 kW (300 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
BMW 440 ;€ 32,900.-;97,500 km;10/2016;240 kW (326 hp);Used;2 previous owners;Automatic;Gasoline;7.1 l/100 km (comb.);165 g/km (comb.)
Tesla Model Y ;€ 64,500.-;13,500 km;01/2022;331 kW (450 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Ford Mustang ;€ 66,900.-;19,172 km;05/2021;338 kW (460 hp);Used;- (Previous Owners);Automatic;Gasoline;12.4 l/100 km (comb.);- (g/km)
Kia Optima ;€ 24,900.-;39,153 km;04/2019;151 kW (205 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.6 l/100 km (comb.);- (g/km)
Audi A4 allroad ;€ 14,390.-;83,737 km;06/2011;105 kW (143 hp);Used;- (Previous Owners);Manual;Diesel;6.2 l/100 km (comb.);164 g/km (comb.)
Kia Sportage ;€ 26,782.-;28,242 km;07/2019;136 kW (185 hp);Used;1 previous owner;Automatic;Electric/Diesel;5.8 l/100 km (comb.);153 g/km (comb.)
Chevrolet Astro ;€ 12,985.-;172,000 km;09/1997;139 kW (189 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz C 200 ;€ 23,890.-;115,145 km;07/2017;100 kW (136 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);112 g/km (comb.)
Volkswagen Jetta ;€ 9,900.-;97,988 km;03/2012;90 kW (122 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz CLA 220 ;€ 21,880.-;108,000 km;10/2017;130 kW (177 hp);Used;- (Previous Owners);Automatic;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
